OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/dist7.c.cnf,	Maximum resident set size (kbytes): 3568032,	Elapsed (wall clock) time (h:mm:ss or m:ss): 15:08.16,0,0,11087740	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:37.93,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/dist8.c.cnf,	Maximum resident set size (kbytes): 3218220,	Elapsed (wall clock) time (h:mm:ss or m:ss): 13:34.69,0,0,9679444	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:38.19,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/dist9.c.cnf,	Maximum resident set size (kbytes): 2832836,	Elapsed (wall clock) time (h:mm:ss or m:ss): 11:53.06,0,0,7750480	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:59.90,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/ecarev-110-1031-23-40-3.cnf,	Maximum resident set size (kbytes): 1070296,	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:40.90,0,0,20400	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.93,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/e_rphp035_05.cnf,	Maximum resident set size (kbytes): 4070304,	Elapsed (wall clock) time (h:mm:ss or m:ss): 15:04.44,0,0,2472108	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:38.69,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/e_rphp055_04.cnf,	Maximum resident set size (kbytes): 1161172,	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:35.44,0,0,685788	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:25.89,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/e_rphp065_04.cnf,	Maximum resident set size (kbytes): 2624204,	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:40.17,0,0,1514936	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:57.37,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/e_rphp096_04.cnf,	Maximum resident set size (kbytes): 16328296,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:02:20,0,0,9614612	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:31.44,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/filter_iir_true-unreach-call.c.cnf,	Maximum resident set size (kbytes): 32237924,	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:11:47,0,0,38692	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:01.78,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/gto_p60c231_1.cnf,	Maximum resident set size (kbytes): 2062608,	Elapsed (wall clock) time (h:mm:ss or m:ss): 11:23.69,0,0,1999816	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:09.17,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/gto_p60c231.cnf,	Maximum resident set size (kbytes): 1684864,	Elapsed (wall clock) time (h:mm:ss or m:ss): 9:20.05,0,0,1628996	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:56.20,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/gto_p60c233.cnf,	Maximum resident set size (kbytes): 2896824,	Elapsed (wall clock) time (h:mm:ss or m:ss): 15:02.04,0,0,2580960	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:29.81,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/gto_p60c234.cnf,	Maximum resident set size (kbytes): 3513864,	Elapsed (wall clock) time (h:mm:ss or m:ss): 20:49.21,0,0,3278392	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:53.88,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/gto_p60c235.cnf,	Maximum resident set size (kbytes): 3586688,	Elapsed (wall clock) time (h:mm:ss or m:ss): 21:13.35,0,0,3462224	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:59.41,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/gto_p60c238.cnf,	Maximum resident set size (kbytes): 6480016,	Elapsed (wall clock) time (h:mm:ss or m:ss): 47:16.03,0,0,5919180	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:31.03,0,0,0,0,0,0,0,0
